ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW <sub>el</sub>),Eingespeister Strom (kWh) 2026,Eingespeister Strom (kWh) 2025,Eingespeister Strom (kWh) 2024,Eingespeister Strom (kWh) 2023,Eingespeister Strom (kWh) 2022,Eingespeister Strom (kWh) 2021
264,8112,Gratwein,ST,,Biogas,14.5,0,179,3757,13610,6717,12058
275,8413,Schwarzautal,ST,,Biogas,400,697098,2799201,2776508,2846725,2797286,2770640
280,8490,Bad Radkersburg,ST,,Biogas,500,1471519,4403895,4445856,4524949,4512842,4325385
284,8583,Edelschrott,ST,,Biogas,500,733163,2673262,3037819,2486379,1910855,2028668
294,8102,Semriach,ST,,Biogas,17.3,0,0,0,0,0,0
295,8750,Judenburg,ST,,Klärgas,60,0,0,0,0,0,0
297,8786,Rottenmann,ST,,Biogas,80,0,0,0,0,0,0
299,8401,Kalsdorf b.Graz,ST,,Biogas,100,319476,950513,970633,972565,858633,785967
320,8522,Groß Sankt Florian,ST,,Biogas,30,23623,49342,57656,28751,0,0
330,8650,Kindberg,ST,,Klärgas,50,77,5633,491,0,0,0
339,8480,Mureck,ST,,Biogas,999,2488458,8239480,8289056,8413862,8194810,7890630
341,8561,Söding-Sankt Johann,ST,,Biogas,40,6974,22993,11164,4559,0,0
346,8641,Sankt Marein im Mürztal,ST,,Biogas,96,4655,5878,4454,844,0,0
353,8962,Gröbming,ST,,Biogas,43,0,0,0,0,0,4681
358,8345,Stainz bei Straden,ST,,Biogas,330,0,0,0,0,0,0
361,8341,Paldau,ST,,Biogas,500,1409354,3578763,4005960,0,669020,3698513
370,8443,Sankt Martin/Sulmtal,ST,,Deponiegas,1400,0,0,24,92,0,0
375,8081,Heiligenkreuz am Waasen,ST,,Biogas,869,0,0,0,0,0,0
381,8591,Maria Lankowitz,ST,,Biogas,64,43872,175487,187391,204299,208975,178807
383,8051,Graz,ST,,Biogas,150,59966,51714,1400,2275,0,0
426,8501,Ernstbrunn,ST,,Biogas,286,0,0,0,0,0,0
441,8271,Bad Waltersdorf,ST,,Biogas,32,0,0,0,0,0,0
443,8490,Bad Radkersburg,ST,,Biogas,500,1462184,4380789,4350184,4470296,4486481,4246384
448,8330,KG Auersbach,ST,,Biogas,100,0,0,0,0,0,0
450,8521,Wettmannstätten,ST,,Biogas,500,698561,2140273,2157413,2865521,2991024,3094753
452,8224,Hartl,ST,,Biogas,100,182323,540766,569645,610542,628697,642646
454,8700,Leoben,ST,,Klärgas,500,2580,4231,2346,3379,4971,1903
457,8492,Halbenrain,ST,,Biogas,499,455233,1387185,1657114,2668476,681736,0
460,8342,Gnas,ST,,Biogas,495,1354019,4275669,4299317,4321834,3713417,3651793
461,8480,Mureck,ST,,Biogas,500,1085525,3064521,4215776,4356196,4163047,4340230
465,8492,Halbenrain,ST,,Deponiegas,598,0,0,0,0,0,0
475,8723,Kobenz,ST,,Klärgas,330,45501,179390,132308,110949,110953,157984
486,8580,KG Rosental,ST,,Deponiegas,657,0,0,0,0,0,0
491,8410,Wildon,ST,,Klärgas,110,0,0,0,0,0,0
497,8264,Großwilfersdorf,ST,,Biogas,500,1556943,4415560,4649214,5315285,4338027,4169581
504,8756,St.Georgen/Judenburg,ST,,"	Process heat - Biogenic - unspecified",19.76,0,0,0,0,0,0
507,8130,Frohnleiten,ST,,Deponiegas,625,0,0,0,0,0,0
522,8740,Zeltweg,ST,,Biogas,500,1106079,4427151,3209660,3590435,2979216,4244439
532,8563,Ligist,ST,,Biogas,250,697268,2129356,2086047,2111084,1985443,2013281
